ID,NAME,ADDR1,BORO,ZIP,LNG,LAT
110,Q013 - P.S. 13 Clement C Moore,55-01 94th Street,Queens,11373,-73.86851,40.73761
54,Q017 - P.S. 17 Henry David Thoreau,28-37 29th Street,Queens,11102,-73.92243,40.76898
56,Q020 - PS 20 John Bowne,142-30 Barclay Avenue,Queens,11355,-73.82483,40.75868
58,Q022 - P.S. 22 Thomas Jefferson,153-55 Sanford Ave,Queens,11355,-73.81162,40.76128
60,Q025 - I.S. 25 Adrien Block,34-65 192nd Street,Queens,11358,-73.79008,40.76513
1197,Q036 - P.S. 36 Saint Albans,187-01 Foch Boulevard,Queens,11412,-73.76391,40.69082
1206,Q053 - M.S. 53 Brian Piccolo,10-45 Nameoke Street,Queens,11691,-73.7491,40.60361
73,Q060 - P.S. 60 Woodhaven,91-02 88th Avenue,Queens,11421,-73.85264,40.69217
74,Q061 - I.S. 61 Leonardo DaVinci,98-50 50th Avenue,Queens,11368,-73.86331,40.74266
75,Q062 - P.S. 62 Chester Park,97-25 108th Street,Queens,11419,-73.8362,40.68866
128,Q067 - J.H.S. 67 Louis Pasteur,51-60 Marathon Parkway,Queens,11362,-73.73369,40.7627
76,Q069 - P.S. 69 Jackson Heights,77-02 37th Avenue,Queens,11372,-73.88882,40.74926
77,Q070 - P.S. 70,30-45 42nd Street,Queens,11103,-73.91423,40.7621
78,Q073 - I.S. 73 Frank Sansiveiri,70-02 54th Avenue,Queens,11378,-73.89362,40.72921
139,Q109 - I.S. 109 Jean Nuzzi,213-10 92nd Avenue,Queens,11428,-73.747,40.72071
143,Q117 - P.S. 117 J. Keld / Briarwood School,85-15 143rd Street,Queens,11435,-73.81338,40.70946
167,Q121 - P.S. 121,126-10 109th Avenue,Queens,11420,-73.81583,40.68404
168,Q125 - I.S. 125 Thomas J. McCann Woodside,46-02 47th Avenue,Queens,11377,-73.91895,40.74112
671,Q138 - P.S. 138 The Sunrise School,251-11 Weller Avenue,Queens,11422,-73.73518,40.65972
170,Q139 - P.S. 139 Rego Park,93-06 63rd Drive,Queens,11374,-73.86358,40.72813
173,Q145 - I.S. 145 Joseph Pulitzer,33-34 80th Street,Queens,11372,-73.88711,40.75465
220,Q185 - J.H.S. 185 Edward Bleeker,147-26 25th Drive,Queens,11354,-73.81935,40.77525
104,Q210 - I.S. 210 Elizabeth Blackwell,93-11 101st Avenue,Queens,11416,-73.84747,40.68385
1257,Q214 - P.S. 214 Cadwallader Colden,31-15 140th Street,Queens,11354,-73.82862,40.77038
673,Q226 - I.S. 226 Virgil I. Grissom ,121-10 Rockaway Boulevard,Queens,11420,-73.81694,40.67576
233,Q227 - I.S. 227 Louis Armstrong,32-02 Junction Boulevard,Queens,11369,-73.87447,40.7584
244,Q237 - I.S. 237 Rachel Carson Intermediate School,46-21 Colden Street,Queens,11355,-73.82207,40.74954
245,Q238 - I.S. 238 Susan B. Anthony,88-15 182nd Street,Queens,11423,-73.78047,40.71309
3029,Q260 - P.S. 307 Pioneer Academy,40-20 100th Street,Queens,11368,-73.86516,40.74883
843,Q400 - August Martin High School,156-10 Baisley Boulevard,Queens,11434,-73.78334,40.67563
899,Q405 - Bayside High School,32-42 Corporal Kennedy Street,Queens,11361,-73.78018,40.77153
844,Q410 - Beach Channel Educational Campus,100-00 Beach Channel Drive,Queens,11694,-73.82262,40.58606
887,Q415 - Benjamin N. Cardozo High School,57-00 223rd Street,Queens,11364,-73.75599,40.75233
676,Q420 - Springfield Gardens Educational Campus,143-10 Springfield Boulevard,Queens,11413,-73.75684,40.66823
888,Q425 - John Bowne High School,63-25 Main Street,Queens,11367,-73.82494,40.73813
889,Q430 - Francis Lewis High School,58-20 Utopia Parkway,Queens,11365,-73.79283,40.74072
892,Q435 - Martin Van Buren High School,230-17 Hillside Avenue,Queens,11427,-73.73875,40.73306
893,Q440 - Forest Hills High School,67-01 110th Street,Queens,11375,-73.84564,40.72939
898,Q480 - John Adams High School,101-01 Rockaway Boulevard,Queens,11417,-73.83835,40.6798
259,Q485 - Grover Cleveland High School,21-27 Himrod Street,Queens,11385,-73.90881,40.71103
900,Q505 - Hillcrest High School,160-05 Highland Avenue,Queens,11432,-73.80166,40.70944
260,Q610 - Aviation High School,45-30 36th Street,Queens,11101,-73.92908,40.7435
3030,Q686 - Queens Metropolitan H.S.,91-30 Metropolitan Avenue,Queens,11375,-73.85708,40.71142
91,Q849 - I.S. 77,976 Seneca Avenue,Queens,11385,-73.90214,40.69951
649,R002 - I.S. 2 George Egbert ,333 Midland Avenue,Staten Island,10306,-74.10073,40.57672
17,R024 - I.S. 24 Myra Barnes,225 Cleveland Avenue,Staten Island,10308,-74.14632,40.54527
18,R027 - I.S. 27 Anning S. Prall,11 Clove Lake Place,Staten Island,10310,-74.117,40.62816
32,R051 - I.S. 51 Edwin Markham,20 Houston Street,Staten Island,10302,-74.14497,40.62259
36,R058 - P.S. 58 Space Shuttle Columbia School,77 Marsh Avenue,Staten Island,10314,-74.1625,40.58208
38,R061 - I.S. 61 William A. Morris,445 Castleton Avenue,Staten Island,10301,-74.09783,40.634
1447,R080 - P.S. 80 Michael J. Petrides School,715 Ocean Terrace,Staten Island,10301,-74.1019,40.60836
3032,R445 - Port Richmond H.S.,85 St Joseph's Avenue,Staten Island,10302,-74.14182,40.63457
44,R455 - Tottenville High School,100 Luten Avenue,Staten Island,10312,-74.19203,40.52808
3033,R605 - Staten Island Technical High School,485 Clawson Street,Staten Island,10306,-74.11537,40.56787
207,X025 - P.S. 25,811 East 149th Street,Bronx,10455,-73.90606,40.81261
208,X026 - P.S. 396,1930 Andrews Avenue,Bronx,10453,-73.9132,40.85469
852,X079 - P.S. 79 Creston,125 East 181st Street,Bronx,10453,-73.90345,40.85487
364,X080 - J.H.S. 80 Mosholu Parkway,149 East Mosholu Parkway North,Bronx,10467,-73.88153,40.87629
428,X102 - P.S. 102 Joseph O Loretan,1827 Archer Street,Bronx,10460,-73.86603,40.83762
432,X103 - P.S. 103 Hector Fontanez,4125 Carpenter Avenue,Bronx,10466,-73.86146,40.89215
507,X113 - I.S. 113,3710 Barnes Avenue,Bronx,10467,-73.8609,40.88087
511,X116 - I.S. 116 Rafael Hernandez,977 Fox Street,Bronx,10459,-73.8939,40.82244
625,X127 - I.S. 127 Castle Hill,1560 Purdy Street,Bronx,10462,-73.85352,40.83792
1367,X141 - M.S. / H.S. 141,660 West 237th Street,Bronx,10463,-73.91348,40.88833
651,X144 - J.H.S. 144 Michelangelo,2545 Gunther Avenue,Bronx,10469,-73.83607,40.86373
633,X147 - I.S. 313 / I.S. 339 ,1600 Webster Avenue,Bronx,10457,-73.90475,40.84087
652,X151 - I.S. 151 Henry Lou Gehrig,250 East 156th Street,Bronx,10451,-73.92163,40.82315
281,X166 - J.H.S. 166 Roberto Clemente,250 East 164th Street,Bronx,10456,-73.91767,40.82869
3037,X167 - P.S. 214,1970 West Farms Road,Bronx,10460,-73.88046,40.8393
653,X192 - I.S. 192 Piagentini-Jones,650 Hollywood Avenue,Bronx,10465,-73.81841,40.82652
292,X235 - P.S. 218 Rafael Hernandez Dual Language,1220 Gerard Avenue,Bronx,10452,-73.92003,40.83584
2084,X306 - P.S. 306,40 West Tremont Avenue,Bronx,10453,-73.91118,40.85182
3038,X362 - I.S. / H.S. 362 ,921 East 228th Street,Bronx,10466,-73.85269,40.88783
298,X400 - Morris High School,1110 Boston Road,Bronx,10456,-73.90447,40.82764
654,X405 - Herbert Lehman High School,3000 East Tremont Avenue,Bronx,10461,-73.83854,40.8407
299,X410 - William H Taft H.S.,240 East 172nd Street,Bronx,10457,-73.91091,40.84042
303,X430 - Walton Educational School,2780 Reservoir Avenue,Bronx,10468,-73.89831,40.87029
315,X435 - Theodore Roosevelt Educational Campus,500 East Fordham Road,Bronx,10458,-73.88827,40.86004
655,X450 - Adlai E. Stevenson High School,1980 Lafayette Avenue,Bronx,10473,-73.85617,40.82228
318,X455 - Harry S. Truman High School,750 Baychester Avenue,Bronx,10475,-73.83391,40.87416
656,X470 - South Bronx Educational Campus,701 Saint Ann's Avenue,Bronx,10455,-73.91103,40.81824
657,X475 - The Kennedy Campus,99 Terrace View Avenue,Bronx,10463,-73.9121,40.87723
344,X660 - Grace H. Dodge Vocational High School,2474 Crotona Avenue,Bronx,10458,-73.88271,40.85569
1299,X839 - Bronx H.S. for the Visual Arts,2040 Antin Place,Bronx,10462,-73.86503,40.8514
