NAME,DETAIL,PHONE,ADDR1,ZIP,BORO,X,Y,EMAIL,WEBSITE
Saint Brigid School,,212-677-5210,185 East 7 Street,10009,Manhattan,989603,203419,jdelucia@stbrigidschoolny.com,www.stbrigidschoolny.com
Educational Alliance - Lillian Wald,,646-395-4218,34 Avenue D,10009,Manhattan,990494,201989,JBattaglia@edalliance.org,https://edalliance.org
Virginia Day Nursery,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-228-5220,464 East 10 Street,10009,Manhattan,991269,203061,shwilliams@shelteringarmsny.org,https://shelteringarmsny.org
Hamilton Madison House EarlyLearn Center 5,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-962-3408,253 South Street,10002,Manhattan,986866,198046,annettesanches@hmhonline.org,www.hmhonline.org
Bank Street Head Start,,212-353-2532,535 East 5 Street,10009,Manhattan,989069,203159,jgarcia@bankstreet.edu,https://www.bankstreet.edu/education-for-children/head-start/
Dewitt Reformed Church Head Start,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-254-3070,280 Rivington Street,10002,Manhattan,989929,200699,mybln@yahoo.com,
Escuela Hispana Montessori 2,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-982-6650,180 Suffolk Street,10002,Manhattan,988477,202038,lylewalford12@gmail.com,https://escuelahispanaelc.com
Grand St Settlement Head Start Center,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-777-0656,294 Delancey Street,10002,Manhattan,989985,200326,areefe@grandsettlement.org,www.grandsettlement.org
University Settlement ECC,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-453-4584,184 Eldridge Street,10002,Manhattan,986871,201792,lrivera@universitysettlement.org,www.universitysettlement.org
Grand St Settlement,,212-228-8240,300 Delancey Street,10002,Manhattan,990176,200359,jobregon@grandsettlement.org,https://www.grandsettlement.org/
CPC Jacob Riis Child Care Center,,212-533-9138,108 Avenue D,10009,Manhattan,990973,202812,Yho@cpc-nyc.org,www.cpc-nyc.org
Henry Street Settlement Day Care,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-254-3100,301 Henry Street,10002,Manhattan,989041,199494,CCarrozelli@HenryStreet.org,www.henrystreet.org
CPC Little Star of Broome Street,,646-678-3847,131 Broome Street,10002,Manhattan,988577,200191,alei@cpc-nyc.org,https://www.cpc-nyc.org/programs/early-childhood-services/little-star-broome-day-care
P.S. 001 Alfred E. Smith,,212-267-4133,8 HENRY STREET,10038,Manhattan,984943,198898,CLau@schools.nyc.gov,http://schools.nyc.gov/schoolportals/02/m001
P.S. 002 Meyer London,,212-964-0350,122 HENRY STREET,10002,Manhattan,986640,199073,ps2@ps2m.info,www.ps2m.info
P.S. 003 Charrette School,<b>Note:</b> Students who qualify for FRL will have priority for pre-K seats after all zoned students are admitted. ,212-691-1183,490 HUDSON STREET,10014,Manhattan,982537,206190,creynolds@ps3charrettenyc.org,www.ps3nyc.org
P.S. 6 Lillie D. Blake,,212-737-9774,45 East 81 Street,10028,Manhattan,995131,222527,skhan@ps6nyc.com,https://ps6nyc.com
P.S. 011 William T. Harris,,212-929-1743,320 West 21 Street,10011,Manhattan,984061,210431,RBender2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/02/m011
P.S. 033 Chelsea Prep,,212-244-6426,281 Ninth Avenue,10001,Manhattan,984209,212170,CWang@schools.nyc.gov,http://schools.nyc.gov/schoolportals/02/m033
P.S. 040 Augustus Saint-Gaudens,,212-475-5500,320 East 20 Street,10003,Manhattan,989334,207331,jknight3@schools.nyc.gov,https://www.schools.nyc.gov/schools/M040
P.S. 041 Greenwich Village,,212-675-2756,116 West 11 Street,10011,Manhattan,984442,207285,KShanno@schools.nyc.gov,https://ps41.org
P.S. 042 Benjamin Altman,,212-226-8410,71 HESTER STREET,10002,Manhattan,986781,200151,mlee4@schools.nyc.gov,https://www.ps42m.org
P.S. 051 Elias Howe,,212-315-7160,525 WEST 44 STREET,10036,Manhattan,985591,216656,gleon2@schools.nyc.gov, ps51eliashowe.org
P.S. 059 Beekman Hill International,,212-888-7870,231-249 East 56 Street,10022,Manhattan,993566,215912,kking6@schools.nyc.gov,https://ps59.net
P.S. 89,,212-571-5659,201 WARREN STREET,10282,Manhattan,980448,200482,Cschraft@schools.nyc.gov,http://schools.nyc.gov/schoolportals/02/m089
P.S. 111 Adolph S. Ochs,,212-582-7420,440 West 53 Street,10019,Manhattan,987176,218312,egilligan@schools.nyc.gov,www.ps111adolphsochs.org
P.S. 116 Mary Lindley Murray,,212-685-4366,210 East 33 Street,10016,Manhattan,990449,210502,vritter@ps116.org,https://ps116.org
P.S. 124 Yung Wing,,212-966-7237,40 DIVISION STREET,10002,Manhattan,985508,199564,ahom2@schools.nyc.gov,
P.S. 126 Jacob August Riis,,212-962-2188,80 CATHERINE STREET,10038,Manhattan,985099,198162,Cromero3@schools.nyc.gov,PS126MAT.com
P.S. 130 Hernando De Soto,,212-226-8072,143 BAXTER STREET,10013,Manhattan,984696,201108,dchong@schools.nyc.gov,www.ps130m.org
P.S. 150,,212-732-4392,334 GREENWICH STREET,10013,Manhattan,981231,200964,JBonnet@schools.nyc.gov,https://ps150.net
Yorkville Community School,,212-722-5240,421 East 88 Street,10128,Manhattan,998719,222695,mainoffice@yorkvillecommunityschool.org,https://yorkvillecommunityschool.org
P.S. 158 Bayard Taylor,,212-744-6562,1458 YORK AVENUE,10075,Manhattan,997867,219948,mary.semack@ps158.net,ps158.org
P.S. 183 Robert L. Stevenson,,212-734-7719,419 East 66 Street,10065,Manhattan,995843,217529,TDudek@schools.nyc.gov,https://ps183.org
P.S. 198 Isador E. Ida Straus,,212-289-3702,1700 Third Avenue,10128,Manhattan,998132,225290,dsantana10@schools.nyc.gov,https://ps198m.org/
P.S. 212 Midtown West,,212-247-0208,328 West 48 Street,10036,Manhattan,987389,216710,Tfarley@schools.nyc.gov,Www.midtownwest.org
P.S./I.S. 217 Roosevelt Island,,212-980-0294,645 MAIN STREET,10044,Manhattan,998580,217620,lrademaker@schools.nyc.gov,http://schools.nyc.gov/schoolportals/02/m217
Ella Baker School,,212-717-8809,317 East 67 Street,10065,Manhattan,995464,218123,LGarcia3@schools.nyc.gov,https://ellabakerschool.org
Battery Park City School,,212-266-5800,55 BATTERY PLACE,10280,Manhattan,979410,196632,TRuyter@schools.nyc.gov,
The River School,,212-251-6640,425 EAST 35 STREET,10016,Manhattan,991859,210480,prekreadyps281@gmail.com,www.ps281.org
P.S. 290 Manhattan New School,,212-734-7127,311 East 82 Street,10028,Manhattan,997328,221700,desposi2@schools.nyc.gov,
Sixth Avenue Elementary School,,917-305-1000,590 Sixth Avenue,10011,Manhattan,985552,208488,ps340info@gmail.com,https://www.ps340.org
The Peck Slip School,,212-312-6260,1 Peck Slip,10038,Manhattan,982765,199173,dhgreene@schools.nyc.gov,https://peckslip.org
The 47 American Sign Language & English Lower School,,917-326-6609,223 East 23rd Street,10010,Manhattan,989112,208350,DThackerBowell@schools.nyc.gov,
Spruce Street School,,212-266-4800,12 SPRUCE STREET,10018,Manhattan,982696,198290,NHarris2@schools.nyc.gov,https://sprucestreetnyc.org
Cassidy's Place,,212-845-3821,419 East 86 Street,10028,Manhattan,998519,222262,Mdurkee@a-b-c.org,
Guardian Angel,,212-989-8280,193 10 AVENUE,10011,Manhattan,982837,211367,M007@adnyeducation.org,www.guardianangelschool-nyc.org
Lenox Hill Neighborhood House,,212-218-0406,331 East 70 Street,10021,Manhattan,995962,218726,wjimenez@lenoxhill.org,https://lenoxhill.org
MANHATTAN NURSERY SCHOOL,,212-631-0543,38 West 32 Street,10001,Manhattan,987731,211724,contact@manhattannurseryschool.com,https://manhattannurseryschool.com
Imagine Early Learning Center at Vets Kids,,212-951-3435,423 East 23 Street,10010,Manhattan,990780,207539,VetsKidsinfo@imagineelc-nyc.com,www.imagineelc.com
Imagine Early Learning Center at East 97th Street,,212-410-2077,60-62 East 97 Street,10029,Manhattan,997285,226159,sinaikidsinfo@imagineelc.com,imagineelc.com
Battery Park City Day Nursery,,212-945-0088,215 SOUTH END AVENUE,10280,Manhattan,979573,197802,info@bpcdaynursery.com,www.bpcdaynursery.com
Hamilton Madison House EarlyLearn Center 2,,212-962-3408,60 Catherine Street,10038,Manhattan,984993,198569,peteranzalone@hmhonline.org,https://hmhonline.org
Grand St Settlement Dual Center #1,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-677-6990,60 Essex Street,10002,Manhattan,987367,200459,bgonzalez@grandsettlement.org,https://grandsettlement.org
GRAMERCY SCHOOL,,212-420-0510,460 West 34 Street,10001,Manhattan,984548,214046,dsavino@nylel.org,
"CHINATOWN DAY CARE CENTER, INC.",,212-431-3845,35 Division Street,10002,Manhattan,985424,199410,chinatown_day_care@verizon.net,http://www.ccbanyc.org/daycare/
Chinese Community Concerns Corp.,,212-226-5001,180 Mott Street,10012,Manhattan,985448,201798,chinaheadstart@aol.com,
Education Alliance - East Broadway,,646-395-4250,197 East Broadway,10002,Manhattan,987466,199403,Nredondo@edalliance.org,https://mannycantor.org/edgies-preschool/
Bellevue-Educare Childcare Center,,212-679-2393,462 First Avenue,10016,Manhattan,990893,208696,registrar@bellevuedaycarecenter.org,www.bellevuedaycarecenter.org
BMCC Early Childhood Center,,212-220-8251,199 Chambers Street,10013,Manhattan,981234,201421,cscottcroff@bmcc.cuny.edu,www.bmcc.cuny.edu
Chung Pak Day Care Center,,212-343-9630,125 Walker Street,10013,Manhattan,984303,200605,epereira@cpc-nyc.org,www.CPC.org
Eisman Day Nursery,,212-876-9200,1794 First Avenue,10128,Manhattan,999233,223841,eisman1@live.com,
Hudson Guild Children's Center,,212-760-9830,459 West 26 Street,10001,Manhattan,983594,212372,esiegel@hudsonguild.org,https://http://hudsonguild.org
YWCA-NYC Polly Dodge Early Learning Center,,212-757-2047,538 West 55 Street,10019,Manhattan,986567,219268,mbittrolff@ywcanyc.org,https://ywcanyc.org
Garment Industry Day Care Center,,212-219-2286,115 Chrystie Street,10002,Manhattan,985945,201108,kwong2@cpc-nyc.org,https://cpc-nyc.org
Hamilton Madison House EarlyLearn Center 4,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-962-3408,77 Market Street,10002,Manhattan,985811,198204,syenecooper@hmhonlie.org,https://hmhonline.org
Hamilton Madison House EarlyLearn Center 6,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-962-3408,129 Fulton Street,10038,Manhattan,982184,198044,jeannetoomeykriaris@hmhonline.org,https://hmhonline.org
Victoria Children's Group,,212-625-9228,230 Grand Street,10013,Manhattan,985616,201122,Admin@victoriachildrensgroup.com,www.victoriachildrensgroup.com
Roosevelt Island Day Nursery,,212-593-0750,4 RIVER ROAD,10044,Manhattan,998821,217802,office@ridn.org,www.ridn.org
Hudson Guild,,646-649-2351,410 West 40 Street,10018,Manhattan,985826,215163,emendez@hudsonguild.org,https://http://hudsonguild.org
Sacred Heart Parochial,,212-246-4784,456 West 52 Street,10019,Manhattan,986966,218169,nfargione@shjsnyc.org,www.shjsnyc.org
Lexington Children's Center,,212-410-1060,115 East 98 Street,10029,Manhattan,997864,226383,rbeza@aol.com,www.Lexingtonchildren'scenter.com
CCLC at 4 NY Plaza,,212-513-7367,4 New York Plaza,10004,Manhattan,981192,195283,lpacheco@cclc.com,https://cclc.com/4nyplaza
Center Annex (Tribeca Early Childhood Center),,212-925-5641,21 Saint Johns Lane,10013,Manhattan,982687,202114,jeng@cpc-nyc.org,https://www.cpc-nyc.org/programs/early-childhood-services/tribeca-early-childhood-center
Childcare Partners NY West,,212-797-1110,20 West Street,10004,Manhattan,979879,196574,Manhattan@tlechildcare.com,www.manhattan.tlechildcare.com
Creative Steps Early Childhood Center,,212-982-2273,4 Washington Square Village,10012,Manhattan,985093,204263,creativesteps@universitysettlement.org,www.universitysettlement.org/creativesteps
NY Preschool TriBeCa,,212-334-3301,88 Leonard Street,10013,Manhattan,982942,200504,tribeca@nykidsclub.com,http://www.nypre.com/
Victoria Children's Center,,212-625-1828,323 Grand Street,10002,Manhattan,986841,200508,info@victoriachildrensgroup.com,www.victoriachildrensgroup.com
Manhattan Schoolhouse,,212-879-4400,1608 First Avenue,10028,Manhattan,997949,221731,info@manhattanschoolhouse.com,manhattanschoolhouse.com
Vanderbilt Ymca,,212-630-9645,224 East 47 Street,10017,Manhattan,992371,213647,jmata@ymcanyc.org,
NYPreSchool 94th Street,,212-400-0553,345 EAST 94 STREET,10128,Manhattan,998946,224362,stephanie.t@nypre.com,
District 2 Pre-K Center at 2-26 Washington St,,212-422-6310,2-26 Washington Street,10004,Manhattan,979937,196397,Cgalante2@schools.nyc.gov,https://schools.nyc.gov/Academics/EarlyChildhood/District2PKC
District 2 Pre-K Center at 425 East 35th Street,,212-422-6310,425 East 35 Street,10016,Manhattan,991927,210500,Cgalante2@schools.nyc.gov,https://schools.nyc.gov/Academics/EarlyChildhood/District2PKC
District 2 Pre-K Center at 590 Sixth Avenue,,212-422-6310,590 Sixth Avenue,10011,Manhattan,985555,208518,Cgalante2@schools.nyc.gov,https://schools.nyc.gov/Academics/EarlyChildhood/District2PKC
District 2 Pre-K Center at P.S. 343 The Peck Slip School,,212-422-6310,1 Peck Slip,10038,Manhattan,983653,197502,Cgalante2@schools.nyc.gov,https://schools.nyc.gov/Academics/EarlyChildhood/District2PKC
District 2 Pre-K Center at 52 Chambers Street,,212-422-6310,52 Chambers Street,10007,Manhattan,982673,199218,Cgalante2@schools.nyc.gov,https://schools.nyc.gov/Academics/EarlyChildhood/District2PKC
District 2 Pre-K Center at 10 Reade Street,,212-422-6310,10 Reade Street,10007,Manhattan,983256,199305,cgalante2@schools.nyg.gov,https://schools.nyc.gov/Academics/EarlyChildhood/District2PKC
District 2 Pre-K Center at 252 East 57 Street,,212-422-6310,252 East 57 Street,10022,Manhattan,993703,215832,CGalante2@schools.nyc.gov,
District 2 Pre-K Center at 1683 Third Avenue,,212-422-6310,1683 3 Avenue,10128,Manhattan,998150,224906,CGalante2@schools.nyc.gov,
P.S. 009 Sarah Anderson,,212-678-2812,100 West 84 Street,10024,Manhattan,991527,225333,RYoskowitz@schools.nyc.gov,www.PS9.org
P.S. 076 A. Philip Randolph,,212-678-2865,220 West 121 Street,10027,Manhattan,997726,233142,cdeberr@schools.nyc.gov,http://schools.nyc.gov/schoolportals/03/m076
P.S. 084 Lillian Weber,,212-799-2534,32 West 92 Street,10025,Manhattan,993059,226926,ELolis@schools.nyc.gov,
P.S. 087 William Sherman,,212-678-2826,160 West 78 Street,10024,Manhattan,990406,224094,sguirguis@ps87.info,www.ps87.info
"P.S. 145, The Bloomingdale School",,212-678-2857,150 West 105 Street,10025,Manhattan,993925,230396,nrusso10@schools.nyc.gov,http://schools.nyc.gov/schoolportals/03/m145
P.S. 149 Sojourner Truth,,646-672-9020,41 West 117 Street,10026,Manhattan,998595,231664,CAguirr@schools.nyc.gov,http://schools.nyc.gov/schoolportals/03/m149
P.S. 163 Alfred E. Smith,,212-678-2854,163 West 97 Street,10025,Manhattan,992914,228816,wsantana2@schools.nyc.gov,ps163pa.org
P.S. 165 Robert E. Simon,,212-678-2873,234 West 109 Street,10025,Manhattan,993633,231720,parentcoordinator@robertesimon.org,https://psms165.org
P.S. 180 Hugo Newman,,212-678-2849,370 West 120 Street,10027,Manhattan,996478,233557,msullivan18@schools.nyc.gov,www.hugonewmanprep.org
P.S. 185 - The Early Childhood Discovery and Design Magnet School,,212-534-7490,20 West 112 Street,10026,Manhattan,998288,230122,JMurphy32@schools.nyc.gov,http://schools.nyc.gov/schoolportals/03/m185
The Riverside School for Makers and Artists,,212-757-4343,300 West 61 Street,10023,Manhattan,987128,220859,LKevill@schools.nyc.gov,https://museummagnet.com
P.S. 242 - The Young Diplomats Magnet Academy,,212-678-2908,134 West 122 Street,10027,Manhattan,998487,233036,dgomez5@schools.nyc.gov,http://schools.nyc.gov/schoolportals/03/m242
P.S. 452,"<b>Note:</b> Students who qualify for FRL will be prioritized within their priority group, after all zoned students are admitted. ",212-259-6222,210 West 61 Street,10023,Manhattan,987760,220510,ps452admissions@gmail.com,ps452.org
Ascension School,,212-222-5161,220 West 108 Street,10025,Manhattan,993688,231494,ymendez@ascensionschoolnyc.org,www.ascensionschoolnyc.org
Corpus Christi,,212-662-9344,535 West 121 Street,10027,Manhattan,995106,234772,m004@adnyeducation.org,https://ccschoolnyc.org
"Riverside Montessori, Inc.",,212-665-1600,202 Riverside Drive,10025,Manhattan,990862,228429,admissions@twinparks.org,
Goddard Riverside Preschool at W 83rd 2,,212-877-7780,128 West 83 Street,10024,Manhattan,991209,225238,mplace@goddard.org,https://goddard.org
Bloomingdale Family Program 2,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-663-4070,171 West 107 Street,10025,Manhattan,994059,231104,jfvelilla@msn.com,https://bloomingdalefamilyprogram.org
Bloomingdale Family Program III,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-665-4631,987 Columbus Avenue,10025,Manhattan,994915,231007,jfvelilla@bloomingdalefamilyprogram.org,https://bloomingdalefamilyprogram.org
Harlem Gems at P.S. 149,,212-876-0633,41 West 117 Street,10026,Manhattan,998665,231609,hilda.reyes@hczpromise.org,www.hcz.org
Children's Aid Society Frederick Douglass ECP,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-865-6337,885 Columbus Avenue,10025,Manhattan,994301,229836,jbae@childrensaidnyc.org,childrensaidnyc.org
Citizens Care DCC 1,,212-666-1683,131 Saint Nicholas Avenue,10026,Manhattan,997234,232224,skyetroy@gmail.com,
Open Door CCC,,212-749-5572,820 Columbus Avenue,10025,Manhattan,993659,229287,opendoorccc@aol.com,Open Door Learning
Harlem Children's Zone Head Start,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-369-3577,60 West 117 Street,10026,Manhattan,998571,231514,jcampbell@hcz.org,https://hcz.org
Goddard Riverside at Lincoln Square Neighborhood Center,,212-712-9306,243 West 64 Street,10023,Manhattan,987913,221443,rebekah.barr@lsncny.org,https://lsncny.org
East Calvary DCC,,212-534-5249,1 West 112 Street,10026,Manhattan,998516,230204,eastcalvarynursery@yahoo.com,eastcalvarydaycare.org
Cathedral Parkway Towers Preschool,,212-749-0291,125 West 109 Street,10025,Manhattan,994487,231479,sandrahuntsmith@yahoo.com,
Goddard Riverside Day Care 1,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-873-6865,114 West 91 Street,10025,Manhattan,992338,227020,vmoreira@goddard.org,https://goddard.org
Milestones UWS,,929-461-7928,319 West 74 Street,10023,Manhattan,988525,224085,debbie@milestonesuws.com,www.milestonesuws.com
Community Life Center 2,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-427-3000,15 Mount Morris Park West,10027,Manhattan,999302,232580,barbara.sanchez243@gmail.com,
"Finger Painted Hands, Inc. - Site Two",,212-595-5200,26 West 84 Street,10024,Manhattan,992219,225041,amanda@fingerpaintedhands.net,
Finger Painted Hands,,212-595-5200,126 West 83 Street,10024,Manhattan,991289,225207,fph@fingerpaintedhands.net,https://fingerpaintedhands.net
UCP of NYC Manhattan UPK,,347-853-9463,80 West End Avenue,10023,Manhattan,987605,221411,mgiordano@ucpnyc.org,https://ucpnyc.org
